alignment,cost,visited_states,queued_states,traversed_arcs,lp_solved,fitness,bwc,case_id
"[('SubmitCommit', 'SubmitCommit'), ('OpenPR', 'OpenPR'), ('>>', None), ('>>', None), ('ClosePR', 'ClosePR'), ('>>', None)]",3,6,18,18,1,1.0,50004,hadoop#5108
"[('SubmitCommit', 'SubmitCommit'), ('OpenPR', 'OpenPR'), ('>>', None), ('>>', None), ('ClosePR', 'ClosePR'), ('>>', None)]",3,6,18,18,1,1.0,50004,httpd#293
"[('SubmitCommit', 'SubmitCommit'), ('OpenPR', 'OpenPR'), ('>>', None), ('>>', None), ('ClosePR', 'ClosePR'), ('DeleteBranch', 'DeleteBranch')]",2,6,20,20,2,1.0,60004,libexpat#440
"[('SubmitCommit', 'SubmitCommit'), ('OpenPR', 'OpenPR'), ('>>', None), ('>>', None), ('ClosePR', 'ClosePR'), ('>>', None)]",3,6,18,18,2,1.0,50004,netbeans#3161
"[('SubmitCommit', 'SubmitCommit'), ('OpenPR', 'OpenPR'), ('>>', None), ('>>', None), ('ClosePR', 'ClosePR'), ('>>', None)]",3,6,18,18,2,1.0,50004,netbeans#3436
"[('SubmitCommit', 'SubmitCommit'), ('OpenPR', 'OpenPR'), ('>>', None), ('>>', None), ('ClosePR', 'ClosePR'), ('DeleteBranch', 'DeleteBranch')]",2,6,20,20,2,1.0,60004,opencv#20262
"[('SubmitCommit', 'SubmitCommit'), ('OpenPR', 'OpenPR'), ('>>', None), ('IssueComment', '>>'), ('>>', None), ('ClosePR', 'ClosePR'), ('DeleteBranch', 'DeleteBranch')]",10002,8,25,25,10,0.8571428571428572,70004,phoenix#4295
"[('>>', None), ('OpenPR', 'OpenPR'), ('>>', None), ('>>', None), ('Revise', 'Revise'), ('>>', None), ('>>', None), ('IssueComment', 'IssueComment'), ('>>', None), ('ClosePR', 'ClosePR'), ('DeleteBranch', 'DeleteBranch')]",6,13,38,38,3,1.0,70004,phoenix#4296
"[('SubmitCommit', 'SubmitCommit'), ('OpenPR', 'OpenPR'), ('>>', None), ('IssueComment', '>>'), ('>>', None), ('ClosePR', 'ClosePR'), ('DeleteBranch', 'DeleteBranch')]",10002,8,25,25,10,0.8571428571428572,70004,phoenix#4315
"[('SubmitCommit', 'SubmitCommit'), ('OpenPR', 'OpenPR'), ('>>', None), ('>>', None), ('ClosePR', 'ClosePR'), ('DeleteBranch', 'DeleteBranch')]",2,6,20,20,2,1.0,60004,phoenix#4657
"[('SubmitCommit', 'SubmitCommit'), ('OpenPR', 'OpenPR'), ('>>', None), ('>>', None), ('ClosePR', 'ClosePR'), ('DeleteBranch', 'DeleteBranch')]",2,6,20,20,1,1.0,60004,phoenix#4672
"[('SubmitCommit', 'SubmitCommit'), ('OpenPR', 'OpenPR'), ('>>', None), ('>>', None), ('ClosePR', 'ClosePR'), ('DeleteBranch', 'DeleteBranch')]",2,6,20,20,2,1.0,60004,phoenix#4693
"[('SubmitCommit', 'SubmitCommit'), ('OpenPR', 'OpenPR'), ('>>', None), ('IssueComment', '>>'), ('>>', None), ('ClosePR', 'ClosePR'), ('DeleteBranch', 'DeleteBranch')]",10002,8,25,25,10,0.8571428571428572,70004,phoenix#4755
"[('SubmitCommit', 'SubmitCommit'), ('OpenPR', 'OpenPR'), ('>>', None), ('>>', None), ('ClosePR', 'ClosePR'), ('DeleteBranch', 'DeleteBranch')]",2,6,20,20,2,1.0,60004,phoenix#4769
"[('SubmitCommit', 'SubmitCommit'), ('OpenPR', 'OpenPR'), ('>>', None), ('>>', None), ('ClosePR', 'ClosePR'), ('DeleteBranch', 'DeleteBranch')]",2,6,20,20,1,1.0,60004,phoenix#4770
"[('SubmitCommit', 'SubmitCommit'), ('OpenPR', 'OpenPR'), ('>>', None), ('>>', None), ('ClosePR', 'ClosePR'), ('DeleteBranch', 'DeleteBranch')]",2,6,20,20,2,1.0,60004,phoenix#4771
"[('SubmitCommit', 'SubmitCommit'), ('OpenPR', 'OpenPR'), ('>>', None), ('>>', None), ('ClosePR', 'ClosePR'), ('DeleteBranch', 'DeleteBranch')]",2,6,20,20,1,1.0,60004,phoenix#4772
"[('SubmitCommit', 'SubmitCommit'), ('OpenPR', 'OpenPR'), ('>>', None), ('>>', None), ('ClosePR', 'ClosePR'), ('DeleteBranch', 'DeleteBranch')]",2,6,20,20,2,1.0,60004,phoenix#4788
"[('SubmitCommit', 'SubmitCommit'), ('OpenPR', 'OpenPR'), ('>>', None), ('IssueComment', '>>'), ('>>', None), ('ClosePR', 'ClosePR'), ('DeleteBranch', 'DeleteBranch')]",10002,8,25,25,10,0.8571428571428572,70004,phoenix#4821
"[('>>', None), ('OpenPR', 'OpenPR'), ('>>', None), ('>>', None), ('Revise', 'Revise'), ('>>', None), ('>>', None), ('IssueComment', 'IssueComment'), ('>>', None), ('ClosePR', 'ClosePR'), ('DeleteBranch', 'DeleteBranch')]",6,13,38,38,3,1.0,70004,phoenix#4824
"[('>>', None), ('OpenPR', 'OpenPR'), ('>>', None), ('>>', None), ('Revise', 'Revise'), ('>>', None), ('>>', None), ('IssueComment', 'IssueComment'), ('>>', None), ('ClosePR', 'ClosePR'), ('DeleteBranch', 'DeleteBranch')]",6,13,38,38,3,1.0,70004,phoenix#4835
"[('>>', None), ('OpenPR', 'OpenPR'), ('>>', None), ('>>', None), ('Revise', 'Revise'), ('>>', None), ('>>', None), ('IssueComment', 'IssueComment'), ('>>', None), ('ClosePR', 'ClosePR'), ('DeleteBranch', 'DeleteBranch')]",6,13,38,38,3,1.0,70004,phoenix#4836
"[('>>', None), ('OpenPR', 'OpenPR'), ('>>', None), ('>>', None), ('Revise', 'Revise'), ('>>', None), ('>>', None), ('IssueComment', 'IssueComment'), ('>>', None), ('ClosePR', 'ClosePR'), ('DeleteBranch', 'DeleteBranch')]",6,13,38,38,3,1.0,70004,phoenix#4837
"[('SubmitCommit', 'SubmitCommit'), ('OpenPR', 'OpenPR'), ('>>', None), ('IssueComment', '>>'), ('>>', None), ('ClosePR', 'ClosePR'), ('DeleteBranch', 'DeleteBranch')]",10002,8,25,25,10,0.8571428571428572,70004,phoenix#4838
"[('SubmitCommit', 'SubmitCommit'), ('OpenPR', 'OpenPR'), ('>>', None), ('>>', None), ('>>', 'Revise'), ('>>', None), ('>>', None), ('IssueComment', 'IssueComment'), ('>>', None), ('IssueComment', 'IssueComment'), ('>>', None), ('ClosePR', 'ClosePR'), ('DeleteBranch', 'DeleteBranch')]",10006,20,47,58,15,0.875,80004,phoenix#4844
"[('SubmitCommit', 'SubmitCommit'), ('OpenPR', 'OpenPR'), ('>>', None), ('IssueComment', '>>'), ('>>', None), ('ClosePR', 'ClosePR'), ('DeleteBranch', 'DeleteBranch')]",10002,8,25,25,10,0.8571428571428572,70004,phoenix#4845
"[('SubmitCommit', 'SubmitCommit'), ('OpenPR', 'OpenPR'), ('>>', None), ('>>', None), ('>>', 'Revise'), ('>>', None), ('>>', None), ('IssueComment', 'IssueComment'), ('>>', None), ('IssueComment', 'IssueComment'), ('>>', None), ('ClosePR', 'ClosePR'), ('DeleteBranch', 'DeleteBranch')]",10006,20,47,58,15,0.875,80004,phoenix#4846
"[('SubmitCommit', 'SubmitCommit'), ('OpenPR', 'OpenPR'), ('>>', None), ('IssueComment', '>>'), ('>>', None), ('ClosePR', 'ClosePR'), ('DeleteBranch', 'DeleteBranch')]",10002,8,25,25,10,0.8571428571428572,70004,phoenix#4856
"[('SubmitCommit', 'SubmitCommit'), ('OpenPR', 'OpenPR'), ('>>', None), ('>>', None), ('ClosePR', 'ClosePR'), ('DeleteBranch', 'DeleteBranch')]",2,6,20,20,2,1.0,60004,phoenix#4869
"[('SubmitCommit', 'SubmitCommit'), ('OpenPR', 'OpenPR'), ('>>', None), ('>>', None), ('ClosePR', 'ClosePR'), ('DeleteBranch', 'DeleteBranch')]",2,6,20,20,1,1.0,60004,phoenix#4871
"[('SubmitCommit', 'SubmitCommit'), ('OpenPR', 'OpenPR'), ('>>', None), ('>>', None), ('ClosePR', 'ClosePR'), ('DeleteBranch', 'DeleteBranch')]",2,6,20,20,1,1.0,60004,phoenix#4874
"[('SubmitCommit', 'SubmitCommit'), ('OpenPR', 'OpenPR'), ('>>', None), ('IssueComment', '>>'), ('>>', None), ('ClosePR', 'ClosePR'), ('DeleteBranch', 'DeleteBranch')]",10002,8,25,25,10,0.8571428571428572,70004,phoenix#4875
"[('SubmitCommit', 'SubmitCommit'), ('OpenPR', 'OpenPR'), ('>>', None), ('>>', None), ('ClosePR', 'ClosePR'), ('DeleteBranch', 'DeleteBranch')]",2,6,20,20,1,1.0,60004,phoenix#4879
"[('SubmitCommit', 'SubmitCommit'), ('OpenPR', 'OpenPR'), ('>>', None), ('>>', None), ('ClosePR', 'ClosePR'), ('DeleteBranch', 'DeleteBranch')]",2,6,20,20,2,1.0,60004,phoenix#4884
"[('SubmitCommit', 'SubmitCommit'), ('OpenPR', 'OpenPR'), ('>>', None), ('>>', None), ('ClosePR', 'ClosePR'), ('DeleteBranch', 'DeleteBranch')]",2,6,20,20,2,1.0,60004,phoenix#4885
"[('SubmitCommit', 'SubmitCommit'), ('OpenPR', 'OpenPR'), ('>>', None), ('IssueComment', '>>'), ('>>', None), ('ClosePR', 'ClosePR'), ('DeleteBranch', 'DeleteBranch')]",10002,8,25,25,10,0.8571428571428572,70004,redis#11257
"[('SubmitCommit', 'SubmitCommit'), ('OpenPR', 'OpenPR'), ('>>', None), ('>>', None), ('ClosePR', 'ClosePR'), ('DeleteBranch', 'DeleteBranch')]",2,6,20,20,2,1.0,60004,redis#11286
"[('SubmitCommit', 'SubmitCommit'), ('OpenPR', 'OpenPR'), ('>>', None), ('>>', None), ('ClosePR', 'ClosePR'), ('DeleteBranch', 'DeleteBranch')]",2,6,20,20,2,1.0,60004,redis#11351
"[('SubmitCommit', 'SubmitCommit'), ('OpenPR', 'OpenPR'), ('>>', None), ('>>', None), ('ClosePR', 'ClosePR'), ('DeleteBranch', 'DeleteBranch')]",2,6,20,20,2,1.0,60004,spring-cloud-function#755
"[('SubmitCommit', 'SubmitCommit'), ('OpenPR', 'OpenPR'), ('>>', None), ('>>', None), ('ClosePR', 'ClosePR'), ('DeleteBranch', 'DeleteBranch')]",2,6,20,20,1,1.0,60004,spring-framework#28197
"[('SubmitCommit', 'SubmitCommit'), ('OpenPR', 'OpenPR'), ('>>', None), ('>>', None), ('ClosePR', 'ClosePR'), ('>>', None)]",3,6,18,18,1,1.0,50004,swtpm#535
"[('SubmitCommit', 'SubmitCommit'), ('OpenPR', 'OpenPR'), ('>>', None), ('>>', None), ('ClosePR', 'ClosePR'), ('>>', None)]",3,6,18,18,2,1.0,50004,swtpm#594
"[('SubmitCommit', 'SubmitCommit'), ('OpenPR', 'OpenPR'), ('>>', None), ('>>', None), ('ClosePR', 'ClosePR'), ('>>', None)]",3,6,18,18,1,1.0,50004,swtpm#626
"[('SubmitCommit', 'SubmitCommit'), ('OpenPR', 'OpenPR'), ('>>', None), ('>>', None), ('ClosePR', 'ClosePR'), ('DeleteBranch', 'DeleteBranch')]",2,6,20,20,2,1.0,60004,tensorflow#48172
"[('SubmitCommit', 'SubmitCommit'), ('OpenPR', 'OpenPR'), ('ReviewRequested', 'ReviewRequested'), ('>>', None), ('>>', None), ('ClosePR', 'ClosePR'), ('DeleteBranch', 'DeleteBranch')]",2,7,24,24,3,1.0,70004,tensorflow#48686
"[('SubmitCommit', 'SubmitCommit'), ('OpenPR', 'OpenPR'), ('ReviewRequested', 'ReviewRequested'), ('>>', None), ('>>', None), ('ClosePR', 'ClosePR'), ('DeleteBranch', 'DeleteBranch')]",2,7,24,24,2,1.0,70004,tensorflow#49098
"[('SubmitCommit', 'SubmitCommit'), ('OpenPR', 'OpenPR'), ('>>', None), ('>>', None), ('ClosePR', 'ClosePR'), ('DeleteBranch', 'DeleteBranch')]",2,6,20,20,1,1.0,60004,tensorflow#50088
"[('SubmitCommit', 'SubmitCommit'), ('OpenPR', 'OpenPR'), ('ReviewRequested', 'ReviewRequested'), ('>>', None), ('>>', None), ('ClosePR', 'ClosePR'), ('DeleteBranch', 'DeleteBranch')]",2,7,24,24,2,1.0,70004,tensorflow#50156
"[('SubmitCommit', 'SubmitCommit'), ('OpenPR', 'OpenPR'), ('ReviewRequested', 'ReviewRequested'), ('ReviewRejected', 'ReviewRejected'), ('>>', None), ('ClosePR', 'ClosePR'), ('DeleteBranch', 'DeleteBranch')]",1,7,25,25,4,1.0,80004,tensorflow#50442
"[('SubmitCommit', 'SubmitCommit'), ('OpenPR', 'OpenPR'), ('ReviewRequested', 'ReviewRequested'), ('>>', None), ('>>', None), ('ClosePR', 'ClosePR'), ('DeleteBranch', 'DeleteBranch')]",2,7,24,24,2,1.0,70004,tensorflow#50544
"[('SubmitCommit', 'SubmitCommit'), ('OpenPR', 'OpenPR'), ('>>', None), ('>>', None), ('ClosePR', 'ClosePR'), ('DeleteBranch', 'DeleteBranch')]",2,6,20,20,2,1.0,60004,tensorflow#50771
"[('SubmitCommit', 'SubmitCommit'), ('OpenPR', 'OpenPR'), ('>>', None), ('IssueComment', '>>'), ('>>', None), ('ClosePR', 'ClosePR'), ('DeleteBranch', 'DeleteBranch')]",10002,8,25,25,10,0.8571428571428572,70004,tensorflow#50949
"[('SubmitCommit', 'SubmitCommit'), ('OpenPR', 'OpenPR'), ('>>', None), ('>>', None), ('ClosePR', 'ClosePR'), ('DeleteBranch', 'DeleteBranch')]",2,6,20,20,2,1.0,60004,tensorflow#52205
"[('SubmitCommit', 'SubmitCommit'), ('OpenPR', 'OpenPR'), ('ReviewRequested', 'ReviewRequested'), ('>>', None), ('>>', None), ('ClosePR', 'ClosePR'), ('DeleteBranch', 'DeleteBranch')]",2,7,24,24,1,1.0,70004,tensorflow#52340
"[('SubmitCommit', 'SubmitCommit'), ('OpenPR', 'OpenPR'), ('>>', None), ('>>', None), ('ClosePR', 'ClosePR'), ('DeleteBranch', 'DeleteBranch')]",2,6,20,20,2,1.0,60004,tensorflow#52612
"[('SubmitCommit', 'SubmitCommit'), ('OpenPR', 'OpenPR'), ('ReviewRequested', 'ReviewRequested'), ('ReviewRejected', 'ReviewRejected'), ('>>', None), ('ClosePR', 'ClosePR'), ('DeleteBranch', 'DeleteBranch')]",1,7,25,25,4,1.0,80004,tensorflow#52684
"[('SubmitCommit', 'SubmitCommit'), ('OpenPR', 'OpenPR'), ('ReviewRequested', 'ReviewRequested'), ('>>', None), ('>>', None), ('ClosePR', 'ClosePR'), ('DeleteBranch', 'DeleteBranch')]",2,7,24,24,3,1.0,70004,tensorflow#53452
"[('>>', None), ('OpenPR', 'OpenPR'), ('>>', None), ('>>', None), ('Revise', 'Revise'), ('>>', None), ('Revise', 'Revise'), ('>>', None), ('Revise', 'Revise'), ('>>', None), ('>>', None), ('ClosePR', 'ClosePR'), ('>>', None)]",8,18,48,50,4,1.0,70004,tensorflow#54525
"[('>>', None), ('OpenPR', 'OpenPR'), ('>>', None), ('>>', None), ('Revise', 'Revise'), ('>>', None), ('Revise', 'Revise'), ('>>', None), ('Revise', 'Revise'), ('>>', None), ('>>', None), ('ClosePR', 'ClosePR'), ('>>', None)]",8,18,48,50,4,1.0,70004,tensorflow#54526
"[('>>', None), ('OpenPR', 'OpenPR'), ('>>', None), ('>>', None), ('Revise', 'Revise'), ('>>', None), ('Revise', 'Revise'), ('>>', None), ('Revise', 'Revise'), ('>>', None), ('>>', None), ('ClosePR', 'ClosePR'), ('DeleteBranch', 'DeleteBranch')]",7,18,50,52,4,1.0,80004,tensorflow#54527
"[('>>', None), ('OpenPR', 'OpenPR'), ('>>', None), ('>>', None), ('Revise', 'Revise'), ('>>', None), ('Revise', 'Revise'), ('>>', None), ('Revise', 'Revise'), ('>>', None), ('>>', None), ('ClosePR', 'ClosePR'), ('DeleteBranch', 'DeleteBranch')]",7,18,50,52,4,1.0,80004,tensorflow#54528
"[('SubmitCommit', 'SubmitCommit'), ('OpenPR', 'OpenPR'), ('>>', None), ('>>', None), ('ClosePR', 'ClosePR'), ('>>', None)]",3,6,18,18,1,1.0,50004,tensorflow#54529
"[('>>', None), ('OpenPR', 'OpenPR'), ('>>', None), ('>>', None), ('Revise', 'Revise'), ('>>', None), ('Revise', 'Revise'), ('>>', None), ('Revise', 'Revise'), ('>>', None), ('>>', None), ('ClosePR', 'ClosePR'), ('>>', None)]",8,18,48,50,4,1.0,70004,tensorflow#54530
"[('>>', None), ('OpenPR', 'OpenPR'), ('>>', None), ('>>', None), ('Revise', 'Revise'), ('>>', None), ('Revise', 'Revise'), ('>>', None), ('Revise', 'Revise'), ('>>', None), ('>>', None), ('ClosePR', 'ClosePR'), ('>>', None)]",8,18,48,50,4,1.0,70004,tensorflow#54531
"[('>>', None), ('OpenPR', 'OpenPR'), ('>>', None), ('>>', None), ('Revise', 'Revise'), ('>>', None), ('Revise', 'Revise'), ('>>', None), ('Revise', 'Revise'), ('>>', None), ('>>', None), ('ClosePR', 'ClosePR'), ('>>', None)]",8,18,48,50,4,1.0,70004,tensorflow#54533
"[('>>', None), ('OpenPR', 'OpenPR'), ('>>', None), ('>>', None), ('Revise', 'Revise'), ('>>', None), ('Revise', 'Revise'), ('>>', None), ('Revise', 'Revise'), ('>>', None), ('>>', None), ('ClosePR', 'ClosePR'), ('DeleteBranch', 'DeleteBranch')]",7,18,50,52,4,1.0,80004,tensorflow#54534
"[('>>', None), ('OpenPR', 'OpenPR'), ('>>', None), ('>>', None), ('Revise', 'Revise'), ('>>', None), ('Revise', 'Revise'), ('>>', None), ('>>', None), ('ClosePR', 'ClosePR'), ('>>', None)]",7,14,38,39,3,1.0,60004,tensorflow#54535
"[('SubmitCommit', 'SubmitCommit'), ('OpenPR', 'OpenPR'), ('>>', None), ('>>', None), ('Revise', 'Revise'), ('>>', None), ('>>', None), ('ClosePR', 'ClosePR'), ('>>', None)]",5,10,29,29,3,1.0,60004,tensorflow#54536
"[('>>', None), ('OpenPR', 'OpenPR'), ('>>', None), ('>>', None), ('Revise', 'Revise'), ('>>', None), ('Revise', 'Revise'), ('>>', None), ('Revise', 'Revise'), ('>>', None), ('>>', None), ('ClosePR', 'ClosePR'), ('>>', None)]",8,18,48,50,4,1.0,70004,tensorflow#54537
"[('>>', None), ('OpenPR', 'OpenPR'), ('>>', None), ('>>', None), ('Revise', 'Revise'), ('>>', None), ('Revise', 'Revise'), ('>>', None), ('>>', None), ('ClosePR', 'ClosePR'), ('>>', None)]",7,14,38,39,3,1.0,60004,tensorflow#54538
"[('SubmitCommit', 'SubmitCommit'), ('OpenPR', 'OpenPR'), ('>>', None), ('>>', None), ('ClosePR', 'ClosePR'), ('>>', None)]",3,6,18,18,2,1.0,50004,tensorflow#54541
"[('>>', None), ('OpenPR', 'OpenPR'), ('>>', None), ('>>', None), ('Revise', 'Revise'), ('>>', None), ('Revise', 'Revise'), ('>>', None), ('>>', None), ('ClosePR', 'ClosePR'), ('>>', None)]",7,14,38,39,3,1.0,60004,tensorflow#54542
"[('>>', None), ('OpenPR', 'OpenPR'), ('>>', None), ('>>', None), ('Revise', 'Revise'), ('>>', None), ('Revise', 'Revise'), ('>>', None), ('Revise', 'Revise'), ('>>', None), ('>>', None), ('ClosePR', 'ClosePR'), ('>>', None)]",8,18,48,50,4,1.0,70004,tensorflow#54543
"[('>>', None), ('OpenPR', 'OpenPR'), ('>>', None), ('>>', None), ('Revise', 'Revise'), ('>>', None), ('Revise', 'Revise'), ('>>', None), ('Revise', 'Revise'), ('>>', None), ('>>', None), ('ClosePR', 'ClosePR'), ('Revise', '>>'), ('>>', None)]",10008,23,56,62,21,0.875,80004,tensorflow#54544
"[('SubmitCommit', 'SubmitCommit'), ('OpenPR', 'OpenPR'), ('>>', None), ('>>', None), ('ClosePR', 'ClosePR'), ('>>', None)]",3,6,18,18,1,1.0,50004,tensorflow#54546
"[('>>', None), ('OpenPR', 'OpenPR'), ('>>', None), ('>>', None), ('Revise', 'Revise'), ('>>', None), ('Revise', 'Revise'), ('>>', None), ('Revise', 'Revise'), ('>>', None), ('>>', None), ('ClosePR', 'ClosePR'), ('>>', None)]",8,18,48,50,4,1.0,70004,tensorflow#54549
"[('>>', None), ('OpenPR', 'OpenPR'), ('>>', None), ('>>', None), ('Revise', 'Revise'), ('>>', None), ('Revise', 'Revise'), ('>>', None), ('Revise', 'Revise'), ('>>', None), ('>>', None), ('ClosePR', 'ClosePR'), ('>>', None)]",8,18,48,50,4,1.0,70004,tensorflow#54550
"[('>>', None), ('OpenPR', 'OpenPR'), ('>>', None), ('>>', None), ('Revise', 'Revise'), ('>>', None), ('Revise', 'Revise'), ('>>', None), ('Revise', 'Revise'), ('>>', None), ('>>', None), ('ClosePR', 'ClosePR'), ('>>', None)]",8,18,48,50,4,1.0,70004,tensorflow#54551
"[('SubmitCommit', 'SubmitCommit'), ('OpenPR', 'OpenPR'), ('>>', None), ('>>', None), ('Revise', 'Revise'), ('>>', None), ('>>', None), ('ClosePR', 'ClosePR'), ('>>', None)]",5,10,29,29,3,1.0,60004,tensorflow#54552
"[('>>', None), ('OpenPR', 'OpenPR'), ('>>', None), ('>>', None), ('Revise', 'Revise'), ('>>', None), ('Revise', 'Revise'), ('>>', None), ('Revise', 'Revise'), ('>>', None), ('>>', None), ('ClosePR', 'ClosePR'), ('>>', None)]",8,18,48,50,4,1.0,70004,tensorflow#54553
"[('>>', None), ('OpenPR', 'OpenPR'), ('>>', None), ('>>', None), ('Revise', 'Revise'), ('>>', None), ('Revise', 'Revise'), ('>>', None), ('>>', None), ('ClosePR', 'ClosePR'), ('>>', None)]",7,14,38,39,3,1.0,60004,tensorflow#54554
"[('>>', None), ('OpenPR', 'OpenPR'), ('>>', None), ('>>', None), ('Revise', 'Revise'), ('>>', None), ('Revise', 'Revise'), ('>>', None), ('Revise', 'Revise'), ('>>', None), ('>>', None), ('ClosePR', 'ClosePR'), ('>>', None)]",8,18,48,50,4,1.0,70004,tensorflow#54555
"[('>>', None), ('OpenPR', 'OpenPR'), ('>>', None), ('>>', None), ('Revise', 'Revise'), ('>>', None), ('Revise', 'Revise'), ('>>', None), ('Revise', 'Revise'), ('>>', None), ('>>', None), ('ClosePR', 'ClosePR'), ('DeleteBranch', 'DeleteBranch')]",7,18,50,52,4,1.0,80004,tensorflow#54556
"[('>>', None), ('OpenPR', 'OpenPR'), ('>>', None), ('>>', None), ('Revise', 'Revise'), ('>>', None), ('Revise', 'Revise'), ('>>', None), ('Revise', 'Revise'), ('>>', None), ('>>', None), ('ClosePR', 'ClosePR'), ('>>', None)]",8,18,48,50,4,1.0,70004,tensorflow#54557
"[('>>', None), ('OpenPR', 'OpenPR'), ('>>', None), ('>>', None), ('Revise', 'Revise'), ('>>', None), ('Revise', 'Revise'), ('>>', None), ('Revise', 'Revise'), ('>>', None), ('>>', None), ('ClosePR', 'ClosePR'), ('>>', None)]",8,18,48,50,4,1.0,70004,tensorflow#54558
"[('>>', None), ('OpenPR', 'OpenPR'), ('>>', None), ('>>', None), ('Revise', 'Revise'), ('>>', None), ('Revise', 'Revise'), ('>>', None), ('Revise', 'Revise'), ('>>', None), ('>>', None), ('ClosePR', 'ClosePR'), ('>>', None)]",8,18,48,50,4,1.0,70004,tensorflow#54560
"[('>>', None), ('OpenPR', 'OpenPR'), ('>>', None), ('>>', None), ('Revise', 'Revise'), ('>>', None), ('Revise', 'Revise'), ('>>', None), ('Revise', 'Revise'), ('>>', None), ('>>', None), ('ClosePR', 'ClosePR'), ('>>', None)]",8,18,48,50,4,1.0,70004,tensorflow#54561
"[('>>', None), ('OpenPR', 'OpenPR'), ('>>', None), ('>>', None), ('Revise', 'Revise'), ('>>', None), ('Revise', 'Revise'), ('>>', None), ('>>', None), ('ClosePR', 'ClosePR'), ('>>', None)]",7,14,38,39,3,1.0,60004,tensorflow#54562
"[('>>', None), ('OpenPR', 'OpenPR'), ('>>', None), ('>>', None), ('Revise', 'Revise'), ('>>', None), ('Revise', 'Revise'), ('>>', None), ('Revise', 'Revise'), ('>>', None), ('>>', None), ('ClosePR', 'ClosePR'), ('>>', None)]",8,18,48,50,4,1.0,70004,tensorflow#54563
"[('>>', None), ('OpenPR', 'OpenPR'), ('>>', None), ('>>', None), ('Revise', 'Revise'), ('>>', None), ('Revise', 'Revise'), ('>>', None), ('Revise', 'Revise'), ('>>', None), ('>>', None), ('ClosePR', 'ClosePR'), ('DeleteBranch', 'DeleteBranch')]",7,18,50,52,4,1.0,80004,tensorflow#54564
